"36544","2020/02/05"
"36701","2020/02/06"
"36798","2020/02/07"
"36947","2020/02/08"
"37105","2020/02/09"
"37238","2020/02/10"
"37411","2020/02/11"
"37622","2020/02/12"
"37843","2020/02/13"
"38013","2020/02/14"
"38245","2020/02/15"
"38489","2020/02/16"
"38687","2020/02/17"
"38968","2020/02/18"
"39235","2020/02/19"
"39545","2020/02/20"
"39832","2020/02/21"
"40104","2020/02/22"
"40481","2020/02/23"
"40762","2020/02/24"
"41114","2020/02/25"
"41463","2020/02/26"
"41837","2020/02/27"
"42229","2020/02/28"
"42624","2020/02/29"
"42989","2020/03/01"
"43387","2020/03/02"
